,id_oke,wojewodztwo,powiat,powiat_kod,liczba_zdajacych,wynik_avg,wynik_std,wynik_mediana,wynik_modalna,klasa_avg,wynagrodzenie_median
0,1,Kujawsko-Pomorskie,aleksandrowski,401000,287,60.958188153310104,30.203808183289755,62.0,100,16,5981.87
1,1,Kujawsko-Pomorskie,brodnicki,402000,435,55.262068965517244,30.083260864226954,51.0,98,18,5696.51
2,1,Kujawsko-Pomorskie,bydgoski,403000,642,68.7601246105919,30.071800350302617,82.0,100,20,6773.47
4,1,Kujawsko-Pomorskie,chełmiński,404000,253,58.30039525691699,31.07082117835843,56.0,95,17,5881.47
5,1,Kujawsko-Pomorskie,golubsko-dobrzyński,405000,249,56.94779116465863,30.694002219154807,53.0,24,16,5980.32
7,1,Kujawsko-Pomorskie,grudziądzki,406000,202,55.70792079207921,30.452346096903714,53.0,95,13,5982.74
8,1,Kujawsko-Pomorskie,inowrocławski,407000,613,61.27406199021207,30.40112359437392,67.0,98,16,5993.91
9,1,Kujawsko-Pomorskie,lipnowski,408000,382,52.117801047120416,29.144238649748715,44.0,22,16,5669.8
10,1,Kujawsko-Pomorskie,mogileński,409000,95,52.98947368421052,27.979878009155122,45.0,33,17,5861.91
11,1,Kujawsko-Pomorskie,nakielski,410000,372,53.06182795698925,29.743417901891004,44.0,24,17,5950.67
12,1,Kujawsko-Pomorskie,radziejowski,411000,123,50.016260162601625,28.68046096732354,40.0,20,17,5801.61
13,1,Kujawsko-Pomorskie,rypiński,412000,234,54.96153846153846,31.010382452581243,49.0,98,14,5822.38
14,1,Kujawsko-Pomorskie,sępoleński,413000,161,53.2360248447205,27.856222590171324,45.0,25,16,5662.18
16,1,Kujawsko-Pomorskie,toruński,415000,604,61.187086092715234,30.460751515677895,64.0,96,19,6218.78
17,1,Kujawsko-Pomorskie,tucholski,416000,251,53.354581673306775,29.311994079839693,45.0,91,17,5677.9
18,1,Kujawsko-Pomorskie,wąbrzeski,417000,194,49.71649484536083,28.6780392304921,42.0,20,19,5767.6
20,1,Kujawsko-Pomorskie,włocławski,418000,469,55.814498933901916,29.688462771990377,53.0,98,15,5977.24
21,1,Kujawsko-Pomorskie,świecki,414000,477,59.57861635220126,30.872236273211538,58.0,98,18,6134.29
22,1,Kujawsko-Pomorskie,żniński,419000,259,54.06949806949807,28.901426734949144,49.0,22,17,5830.2
23,1,Pomorskie,bytowski,2201000,398,55.69597989949749,29.51093033037793,47.0,96,16,6266.19
24,1,Pomorskie,chojnicki,2202000,513,58.364522417154,29.507815540773077,58.0,96,18,5870.89
25,1,Pomorskie,człuchowski,2203000,311,54.81028938906753,29.970285770688005,49.0,98,16,5886.83
27,1,Pomorskie,gdański,2204000,1056,70.24147727272727,28.183574078133997,84.0,98,21,7058.11
29,1,Pomorskie,kartuski,2205000,1241,61.716357775987106,29.80062892350123,65.0,98,19,6034.37
30,1,Pomorskie,kościerski,2206000,459,58.91285403050109,29.982657084411958,58.0,98,18,5573.89
31,1,Pomorskie,kwidzyński,2207000,452,63.008849557522126,30.731925568030384,68.0,100,18,6040.52
32,1,Pomorskie,lęborski,2208000,313,57.30031948881789,31.140707667285486,56.0,98,18,6224.39
